layer,n_samples,n_mimicked_spans,n_literal_spans_total,n_aligned_spans,eot_cos_to_literal_hidden_mean,eot_l2_to_literal_hidden_mean,eot_special_vs_own_embedding_cos_margin_mean,eot_hidden_norm_mean,start_header_cos_to_literal_hidden_mean,start_header_l2_to_literal_hidden_mean,start_header_special_vs_own_embedding_cos_margin_mean,start_header_hidden_norm_mean,end_header_cos_to_literal_hidden_mean,end_header_l2_to_literal_hidden_mean,end_header_special_vs_own_embedding_cos_margin_mean,end_header_hidden_norm_mean,mimicked_post_span_attention_mass_mean,literal_post_span_attention_mass_mean,post_span_attention_mass_delta_mim_minus_literal
0,450,3.0,4.0,3.0,0.004165,0.66175,-0.995836,0.659748,0.042974,0.637027,-0.957027,0.637584,0.047836,0.636854,-0.952164,0.637584,,,
1,450,3.0,4.0,3.0,0.198145,1.436225,-0.54159,1.076723,0.150574,1.495225,-0.472179,1.067115,0.165465,1.6378,-0.48407,1.087945,0.119734,0.107189,0.012545
2,450,3.0,4.0,3.0,0.228228,1.64544,-0.371618,1.405566,0.232518,1.631546,-0.343693,1.500414,0.38659,1.594725,-0.337915,1.464199,0.064307,0.091403,-0.027097
3,450,3.0,4.0,3.0,0.294438,2.190678,-0.233067,1.933014,0.316932,2.252816,-0.247066,2.089366,0.488298,2.09346,-0.214279,2.174023,0.023625,0.041414,-0.017788
4,450,3.0,4.0,3.0,0.278971,3.154284,-0.189209,2.66908,0.322366,3.02189,-0.190933,2.706441,0.551944,2.661264,-0.152188,2.809747,0.032068,0.040842,-0.008774
5,450,3.0,4.0,3.0,0.270715,4.201721,-0.095012,3.527373,0.320762,3.776642,-0.125293,3.33578,0.5503,3.022021,-0.087276,3.163992,0.043173,0.064494,-0.021322
6,450,3.0,4.0,3.0,0.277128,4.989643,-0.04978,4.306074,0.301368,4.554874,-0.103977,4.077238,0.578908,3.506004,-0.061225,3.967867,0.053256,0.091286,-0.03803
7,450,3.0,4.0,3.0,0.292586,5.474966,-0.025732,4.895247,0.253534,5.32479,-0.062137,4.41101,0.609834,3.810535,-0.043747,4.388111,0.064228,0.081122,-0.016894
8,450,3.0,4.0,3.0,0.281212,6.587394,-0.023995,5.802761,0.218693,6.118108,-0.044069,5.205354,0.630649,4.085789,-0.047867,4.823272,0.108974,0.140933,-0.031959
9,450,3.0,4.0,3.0,0.302755,6.678413,-0.016027,5.586856,0.213338,6.768109,-0.025612,5.427192,0.619721,4.422141,-0.029907,5.046681,0.098945,0.113008,-0.014063
10,450,3.0,4.0,3.0,0.346207,6.858499,-0.019432,5.846565,0.248499,7.095948,-0.032252,5.810236,0.635161,4.634549,-0.038954,5.433214,0.087444,0.120843,-0.033399
11,450,3.0,4.0,3.0,0.325622,7.494521,-0.019038,6.322288,0.197641,7.740362,-0.023002,6.093139,0.615949,5.159939,-0.04108,5.84959,0.093963,0.138745,-0.044782
12,450,3.0,4.0,3.0,0.305596,7.825383,-0.023713,6.561999,0.176415,8.143715,-0.02647,6.564951,0.615148,5.455047,-0.020884,6.179674,0.094973,0.142563,-0.047589
13,450,3.0,4.0,3.0,0.358448,8.106775,-0.011478,6.850584,0.231045,8.605077,-0.037981,6.876337,0.630319,5.850592,-0.015291,6.619729,0.116083,0.175543,-0.05946
14,450,3.0,4.0,3.0,0.386239,8.27169,-0.023832,7.321249,0.220317,8.942766,-0.048283,7.179219,0.649935,5.948875,-0.028854,7.028235,0.10211,0.147406,-0.045296
15,450,3.0,4.0,3.0,0.382872,8.624425,-0.008222,7.429342,0.216798,9.512442,-0.049375,7.678013,0.669839,6.066803,-0.027524,7.483534,0.091273,0.140923,-0.04965
16,450,3.0,4.0,3.0,0.389378,9.307741,-0.018379,8.152837,0.191613,10.432234,-0.035153,8.118531,0.662009,6.490694,-0.027721,8.001193,0.069697,0.098065,-0.028368
17,450,3.0,4.0,3.0,0.400478,10.496768,-0.01875,9.471253,0.217367,11.834216,-0.028503,9.527564,0.664485,7.292699,-0.016683,9.224201,0.079894,0.09532,-0.015426
18,450,3.0,4.0,3.0,0.424961,11.357443,-0.021922,10.551644,0.231021,12.754261,-0.022672,10.327263,0.662652,7.762325,-0.02189,9.784489,0.066236,0.077432,-0.011196
19,450,3.0,4.0,3.0,0.481732,12.482095,-0.024936,12.053852,0.274407,13.918097,-0.011302,11.228228,0.66786,8.358195,-0.019315,10.690853,0.040404,0.052244,-0.01184
20,450,3.0,4.0,3.0,0.459105,13.320208,-0.024365,12.694252,0.265391,14.622993,-0.015202,11.839554,0.630512,9.1374,-0.023535,11.09339,0.043983,0.051209,-0.007225
