layer,n_samples,n_mimicked_spans,n_literal_spans_total,n_aligned_spans,eot_cos_to_literal_hidden_mean,eot_l2_to_literal_hidden_mean,eot_special_vs_own_embedding_cos_margin_mean,eot_hidden_norm_mean,start_header_cos_to_literal_hidden_mean,start_header_l2_to_literal_hidden_mean,start_header_special_vs_own_embedding_cos_margin_mean,start_header_hidden_norm_mean,end_header_cos_to_literal_hidden_mean,end_header_l2_to_literal_hidden_mean,end_header_special_vs_own_embedding_cos_margin_mean,end_header_hidden_norm_mean,mimicked_post_span_attention_mass_mean,literal_post_span_attention_mass_mean,post_span_attention_mass_delta_mim_minus_literal
0,450,3.0,4.0,3.0,0.064709,0.496801,-0.935292,0.497474,0.086995,0.579465,-0.913006,0.581427,0.040856,0.584306,-0.959145,0.584753,,,
1,450,3.0,4.0,3.0,0.330113,1.248812,-0.557815,0.932367,0.354468,1.410998,-0.578688,1.262803,0.279831,1.614982,-0.619742,1.266313,0.131412,0.107189,0.024223
2,450,3.0,4.0,3.0,0.465816,1.409728,-0.371904,1.460368,0.317402,1.587083,-0.469323,1.556084,0.288705,1.851519,-0.492738,1.671224,0.079347,0.091403,-0.012056
3,450,3.0,4.0,3.0,0.518702,1.861503,-0.272326,2.02348,0.303858,2.382985,-0.397202,2.24517,0.357153,2.424856,-0.39746,2.303656,0.03948,0.041414,-0.001934
4,450,3.0,4.0,3.0,0.597435,2.48337,-0.194445,2.906757,0.352811,3.181843,-0.303885,3.053485,0.431944,3.20087,-0.318084,3.168825,0.051314,0.040842,0.010472
5,450,3.0,4.0,3.0,0.611832,3.008529,-0.160476,3.513216,0.364465,3.835276,-0.245378,3.626905,0.380514,3.858148,-0.249307,3.662837,0.066948,0.064494,0.002454
6,450,3.0,4.0,3.0,0.631884,3.4651,-0.13759,4.184881,0.316961,4.595645,-0.187673,4.228451,0.348436,4.684021,-0.193754,4.443455,0.092688,0.091286,0.001402
7,450,3.0,4.0,3.0,0.616739,3.748669,-0.105034,4.457759,0.263809,5.413365,-0.151246,4.610687,0.380357,5.143251,-0.146651,4.913433,0.083335,0.081122,0.002213
8,450,3.0,4.0,3.0,0.656776,4.208016,-0.075654,5.239497,0.275786,5.746535,-0.125034,4.99987,0.366824,5.63212,-0.124848,5.2675,0.121851,0.140933,-0.019082
9,450,3.0,4.0,3.0,0.666925,4.514268,-0.072954,5.689591,0.284099,6.461552,-0.110784,5.456895,0.377211,5.939105,-0.101093,5.516221,0.099552,0.113008,-0.013455
10,450,3.0,4.0,3.0,0.690055,4.812188,-0.064824,6.390912,0.318054,6.989435,-0.083525,6.174507,0.403081,6.313064,-0.102457,6.093287,0.112951,0.120843,-0.007892
11,450,3.0,4.0,3.0,0.668936,5.316658,-0.060381,6.907254,0.272197,7.65167,-0.076,6.560719,0.367447,6.867497,-0.105694,6.303175,0.119105,0.138745,-0.019641
12,450,3.0,4.0,3.0,0.647215,5.7438,-0.05983,7.206244,0.24195,8.205488,-0.062346,7.137261,0.366852,7.323599,-0.07507,6.770153,0.135795,0.142563,-0.006768
13,450,3.0,4.0,3.0,0.667647,6.034476,-0.067854,7.94252,0.307225,8.593541,-0.070117,7.561672,0.409952,7.783507,-0.068488,7.401555,0.156108,0.175543,-0.019435
14,450,3.0,4.0,3.0,0.633929,6.553655,-0.07588,8.196008,0.263237,9.239375,-0.090409,8.043712,0.405445,8.062903,-0.066985,7.725966,0.124712,0.147406,-0.022694
15,450,3.0,4.0,3.0,0.629446,7.038177,-0.077813,8.681081,0.230098,9.990363,-0.11277,8.535563,0.422326,8.408339,-0.087348,8.301754,0.122069,0.140923,-0.018854
16,450,3.0,4.0,3.0,0.583858,8.159778,-0.084983,9.633876,0.223679,10.994837,-0.116743,9.353365,0.414354,9.080275,-0.092616,9.042138,0.100534,0.098065,0.002469
17,450,3.0,4.0,3.0,0.559431,9.506165,-0.088023,10.977182,0.231148,12.099828,-0.120748,10.100732,0.425552,9.831467,-0.078434,9.8815,0.102896,0.09532,0.007576
18,450,3.0,4.0,3.0,0.549527,10.48643,-0.094742,11.842821,0.220002,13.40596,-0.126583,11.259332,0.428641,10.706098,-0.077936,10.920824,0.089814,0.077432,0.012382
19,450,3.0,4.0,3.0,0.579057,11.80599,-0.089669,13.497092,0.246483,14.980548,-0.128609,12.579946,0.444456,11.610374,-0.074872,12.141017,0.054352,0.052244,0.002108
20,450,3.0,4.0,3.0,0.550754,12.768168,-0.088833,14.28816,0.245753,15.924173,-0.131809,13.722062,0.406287,12.653413,-0.080184,12.858827,0.057645,0.051209,0.006436
21,450,3.0,4.0,3.0,0.527022,14.137095,-0.093593,15.387953,0.22384,17.552245,-0.136758,15.162857,0.387134,13.848075,-0.082192,13.787297,0.053276,0.046978,0.006298
22,450,3.0,4.0,3.0,0.538755,15.692156,-0.091204,17.306838,0.233561,19.355837,-0.131153,16.876906,0.370439,15.366408,-0.077143,15.140377,0.050754,0.040561,0.010193
23,450,3.0,4.0,3.0,0.553693,17.192634,-0.095408,19.409268,0.24972,21.305068,-0.130346,18.974674,0.33702,17.550412,-0.0725,16.880981,0.055485,0.044137,0.011349
24,450,3.0,4.0,3.0,0.571774,18.550794,-0.09059,21.410915,0.257264,23.24622,-0.128611,20.849993,0.317268,19.170468,-0.058068,18.125001,0.038351,0.035726,0.002625
25,450,3.0,4.0,3.0,0.575265,19.973296,-0.085945,23.089375,0.254285,25.469102,-0.133528,22.880883,0.312083,20.773075,-0.058911,19.510081,0.041973,0.037428,0.004545
26,450,3.0,4.0,3.0,0.585143,21.408526,-0.084259,25.179088,0.269772,27.758799,-0.11556,25.288028,0.295156,22.799999,-0.055885,21.03283,0.047662,0.043666,0.003996
27,450,3.0,4.0,3.0,0.55174,24.050439,-0.082487,27.375401,0.275115,30.023053,-0.110073,27.607692,0.272203,25.595048,-0.056453,23.398006,0.066363,0.059887,0.006476
28,450,3.0,4.0,3.0,0.558452,26.234798,-0.084051,29.578248,0.27962,33.021571,-0.101236,30.25371,0.301121,27.427564,-0.052714,25.396564,0.055899,0.046598,0.009301
