layer,n_samples,n_mimicked_spans,n_literal_spans_total,n_aligned_spans,eot_cos_to_literal_hidden_mean,eot_l2_to_literal_hidden_mean,eot_special_vs_own_embedding_cos_margin_mean,eot_hidden_norm_mean,start_header_cos_to_literal_hidden_mean,start_header_l2_to_literal_hidden_mean,start_header_special_vs_own_embedding_cos_margin_mean,start_header_hidden_norm_mean,end_header_cos_to_literal_hidden_mean,end_header_l2_to_literal_hidden_mean,end_header_special_vs_own_embedding_cos_margin_mean,end_header_hidden_norm_mean,mimicked_post_span_attention_mass_mean,literal_post_span_attention_mass_mean,post_span_attention_mass_delta_mim_minus_literal
0,200,3.0,4.0,3.0,0.003487,0.665394,-0.996514,0.663634,0.042974,0.637027,-0.957027,0.637584,0.047836,0.636854,-0.952164,0.637584,,,
1,200,3.0,4.0,3.0,0.189379,1.437143,-0.543612,1.075878,0.15474,1.477775,-0.473929,1.063057,0.168755,1.628654,-0.485023,1.084425,0.125557,0.11803,0.007528
2,200,3.0,4.0,3.0,0.224821,1.654752,-0.375047,1.404369,0.234021,1.62257,-0.344673,1.497302,0.385525,1.591958,-0.338313,1.455835,0.065051,0.092637,-0.027586
3,200,3.0,4.0,3.0,0.30033,2.190836,-0.233479,1.939937,0.311066,2.278715,-0.249387,2.089817,0.484366,2.086251,-0.216657,2.138949,0.022004,0.038974,-0.01697
4,200,3.0,4.0,3.0,0.284626,3.118519,-0.187537,2.670296,0.318502,3.070796,-0.192954,2.737175,0.550027,2.632498,-0.155737,2.785298,0.03197,0.041137,-0.009167
5,200,3.0,4.0,3.0,0.276298,4.251587,-0.091166,3.552832,0.310312,3.947546,-0.127651,3.40582,0.553318,3.031963,-0.08709,3.193996,0.044199,0.064106,-0.019906
6,200,3.0,4.0,3.0,0.277394,5.053246,-0.04505,4.32592,0.292421,4.701516,-0.107058,4.120889,0.58498,3.492309,-0.063055,3.998793,0.053513,0.094165,-0.040652
7,200,3.0,4.0,3.0,0.287527,5.571781,-0.023966,4.873157,0.25692,5.417724,-0.063003,4.433041,0.619411,3.737364,-0.046005,4.352181,0.068163,0.086432,-0.018269
8,200,3.0,4.0,3.0,0.270394,6.788193,-0.025093,5.836748,0.227159,6.220771,-0.048834,5.194207,0.644281,3.983711,-0.048721,4.793791,0.112258,0.146165,-0.033906
9,200,3.0,4.0,3.0,0.283988,6.982986,-0.016944,5.668056,0.218761,6.938908,-0.030888,5.417132,0.626769,4.393679,-0.034218,5.046039,0.098704,0.118658,-0.019954
10,200,3.0,4.0,3.0,0.342605,7.10827,-0.023838,5.947577,0.248794,7.232512,-0.032613,5.788721,0.636961,4.559052,-0.041555,5.366345,0.087976,0.126685,-0.038709
11,200,3.0,4.0,3.0,0.316138,7.727478,-0.020448,6.346304,0.201348,7.938544,-0.018576,6.128814,0.623523,5.123296,-0.041655,5.908619,0.097723,0.143988,-0.046265
12,200,3.0,4.0,3.0,0.291294,8.131167,-0.027179,6.599162,0.186122,8.309006,-0.02224,6.583993,0.617317,5.416774,-0.018183,6.155753,0.09599,0.15359,-0.0576
13,200,3.0,4.0,3.0,0.340467,8.430506,-0.011821,6.912947,0.24478,8.68599,-0.035725,6.889561,0.632264,5.837161,-0.013549,6.564595,0.130854,0.195874,-0.06502
14,200,3.0,4.0,3.0,0.369327,8.49911,-0.024285,7.419591,0.238499,8.861452,-0.05046,7.22318,0.652656,5.845047,-0.028557,7.034721,0.102224,0.152111,-0.049887
15,200,3.0,4.0,3.0,0.365623,8.813842,-0.007703,7.547987,0.228921,9.419577,-0.052737,7.698535,0.672686,5.894419,-0.035334,7.405678,0.093561,0.143873,-0.050312
16,200,3.0,4.0,3.0,0.374644,9.418555,-0.017314,8.302204,0.205834,10.219574,-0.03761,8.142549,0.669109,6.280256,-0.033451,7.888303,0.074904,0.099529,-0.024625
17,200,3.0,4.0,3.0,0.389258,10.570572,-0.014751,9.550675,0.23257,11.48759,-0.030499,9.494297,0.678246,6.895177,-0.019776,8.922612,0.086098,0.096749,-0.010651
18,200,3.0,4.0,3.0,0.418033,11.275391,-0.019971,10.431945,0.252274,12.32036,-0.023542,10.15617,0.681498,7.263505,-0.026745,9.38728,0.067766,0.076661,-0.008895
19,200,3.0,4.0,3.0,0.476622,12.259031,-0.020439,11.79568,0.285186,13.330178,-0.013282,10.9032,0.684846,7.768561,-0.022438,10.115137,0.040911,0.051432,-0.010521
20,200,3.0,4.0,3.0,0.457313,13.045195,-0.019731,12.436526,0.283179,14.008045,-0.018095,11.490388,0.648468,8.53308,-0.028894,10.511185,0.04469,0.04899,-0.004301
21,200,3.0,4.0,3.0,0.438774,14.23958,-0.021792,13.220257,0.278126,15.426966,-0.018743,12.908645,0.618372,9.827228,-0.035337,11.733807,0.036648,0.044266,-0.007618
22,200,3.0,4.0,3.0,0.457311,15.616191,-0.019882,14.747988,0.290478,16.962425,-0.021634,14.230617,0.588775,11.148951,-0.031289,12.82541,0.035735,0.039155,-0.00342
23,200,3.0,4.0,3.0,0.485936,16.631448,-0.019412,16.043772,0.317145,18.419867,-0.019595,15.809492,0.570444,12.670374,-0.03217,14.268572,0.030338,0.042129,-0.01179
24,200,3.0,4.0,3.0,0.508544,17.685651,-0.017917,17.208385,0.331349,19.882715,-0.017913,17.108744,0.541496,14.144186,-0.031516,15.408706,0.027397,0.035649,-0.008252
25,200,3.0,4.0,3.0,0.514441,18.99039,-0.015974,18.502079,0.339489,21.452034,-0.012426,18.52928,0.522681,15.656927,-0.023994,16.699448,0.026159,0.036367,-0.010209
26,200,3.0,4.0,3.0,0.515666,20.603954,-0.021945,20.125626,0.345711,23.371085,-0.010268,20.355792,0.499625,17.388271,-0.027987,18.020094,0.034796,0.043332,-0.008536
27,200,3.0,4.0,3.0,0.498498,22.948932,-0.024791,22.793596,0.357496,25.507408,-0.006026,22.869828,0.478623,19.710188,-0.024113,20.166404,0.047242,0.057277,-0.010035
