layer,n_samples,n_mimicked_spans,n_literal_spans_total,n_aligned_spans,eot_cos_to_literal_hidden_mean,eot_l2_to_literal_hidden_mean,eot_special_vs_own_embedding_cos_margin_mean,eot_hidden_norm_mean,start_header_cos_to_literal_hidden_mean,start_header_l2_to_literal_hidden_mean,start_header_special_vs_own_embedding_cos_margin_mean,start_header_hidden_norm_mean,end_header_cos_to_literal_hidden_mean,end_header_l2_to_literal_hidden_mean,end_header_special_vs_own_embedding_cos_margin_mean,end_header_hidden_norm_mean,mimicked_post_span_attention_mass_mean,literal_post_span_attention_mass_mean,post_span_attention_mass_delta_mim_minus_literal
0,200,3.0,4.0,3.0,0.068541,0.463869,-0.931459,0.464576,0.086995,0.579465,-0.913006,0.581427,0.040856,0.584306,-0.959145,0.584753,,,
1,200,3.0,4.0,3.0,0.324857,1.248763,-0.537539,0.945313,0.355333,1.394872,-0.582467,1.251831,0.28363,1.604898,-0.621258,1.262104,0.137624,0.11803,0.019595
2,200,3.0,4.0,3.0,0.48514,1.389165,-0.355638,1.464063,0.328287,1.568437,-0.4694,1.552055,0.297837,1.834052,-0.493693,1.661769,0.080404,0.092637,-0.012233
3,200,3.0,4.0,3.0,0.524349,1.837646,-0.268947,1.997091,0.316024,2.359678,-0.399072,2.219807,0.361076,2.415148,-0.399991,2.291305,0.037129,0.038974,-0.001845
4,200,3.0,4.0,3.0,0.587537,2.553463,-0.178985,3.005951,0.35829,3.153136,-0.311277,3.006238,0.428028,3.177122,-0.322759,3.146421,0.049901,0.041137,0.008764
5,200,3.0,4.0,3.0,0.615427,3.037764,-0.15129,3.592858,0.374029,3.89426,-0.250082,3.628742,0.385879,3.856474,-0.254827,3.680713,0.067705,0.064106,0.0036
6,200,3.0,4.0,3.0,0.653356,3.395396,-0.133981,4.312524,0.324297,4.673141,-0.191296,4.255483,0.359852,4.675358,-0.195664,4.49311,0.096601,0.094165,0.002436
7,200,3.0,4.0,3.0,0.652659,3.53607,-0.102195,4.537885,0.279662,5.468503,-0.153392,4.653631,0.402137,5.024348,-0.150384,4.877377,0.091209,0.086432,0.004778
8,200,3.0,4.0,3.0,0.698291,3.869349,-0.064911,5.358782,0.27963,5.886157,-0.134215,5.032737,0.385325,5.496054,-0.122528,5.191569,0.135216,0.146165,-0.010949
9,200,3.0,4.0,3.0,0.706655,4.114147,-0.0595,5.854772,0.285694,6.674424,-0.117556,5.513381,0.397001,5.828412,-0.095896,5.460415,0.110458,0.118658,-0.0082
10,200,3.0,4.0,3.0,0.734048,4.275259,-0.05381,6.503358,0.319259,7.148154,-0.086091,6.229389,0.414672,6.180767,-0.099384,6.034739,0.1195,0.126685,-0.007184
11,200,3.0,4.0,3.0,0.713037,4.667085,-0.050316,6.926145,0.268055,7.784011,-0.07556,6.47581,0.382642,6.773211,-0.10822,6.294227,0.138962,0.143988,-0.005026
12,200,3.0,4.0,3.0,0.696213,5.102062,-0.044649,7.373299,0.24769,8.366588,-0.060035,7.18253,0.379843,7.206297,-0.074212,6.715056,0.148959,0.15359,-0.004631
13,200,3.0,4.0,3.0,0.708106,5.32655,-0.053564,7.997746,0.315059,8.72425,-0.069313,7.643937,0.426854,7.681432,-0.068009,7.341877,0.17607,0.195874,-0.019804
14,200,3.0,4.0,3.0,0.678739,5.76988,-0.054494,8.138398,0.276023,9.176111,-0.086908,8.083562,0.427479,7.763532,-0.065919,7.624058,0.141172,0.152111,-0.010939
15,200,3.0,4.0,3.0,0.677667,6.2023,-0.056472,8.598642,0.240834,9.945484,-0.118112,8.629116,0.442754,8.041265,-0.088769,8.151264,0.137714,0.143873,-0.006158
16,200,3.0,4.0,3.0,0.636163,7.133603,-0.065246,9.433201,0.232013,10.803696,-0.123154,9.352162,0.438736,8.620063,-0.088394,8.825557,0.112827,0.099529,0.013298
17,200,3.0,4.0,3.0,0.606806,8.414744,-0.077911,10.692412,0.241848,11.782095,-0.123338,10.067221,0.460337,9.15313,-0.072623,9.527069,0.117474,0.096749,0.020725
